scenario,Fishing,Warming,type,species,seed,term,estimate,std.error,statistic,p.value,scenario2,scenario3
Fished_NoWarming_ctrl_cod_30,Fishing,No Warming,ctrl,cod,30,temp,-1.2091905516707623e-17,8.227061061807632e-17,-0.1469772185457782,0.8834519452608652,Fished_NoWarming_ctrl_cod,Fished_NoWarming_ctrl
Fished_NoWarming_ctrl_cod_4,Fishing,No Warming,ctrl,cod,4,temp,1.3389707235098734e-17,9.420911086498861e-17,0.14212751943161386,0.8872710658722566,Fished_NoWarming_ctrl_cod,Fished_NoWarming_ctrl
Fished_NoWarming_ctrl_cod_5,Fishing,No Warming,ctrl,cod,5,temp,-2.29959141591246e-18,9.582210741658624e-17,-0.023998547703767307,0.9809025651791028,Fished_NoWarming_ctrl_cod,Fished_NoWarming_ctrl
Fished_NoWarming_ctrl_cod_6,Fishing,No Warming,ctrl,cod,6,temp,9.903226516637927e-17,9.804915322992751e-17,1.0100267254133888,0.314969792374703,Fished_NoWarming_ctrl_cod,Fished_NoWarming_ctrl
Fished_NoWarming_ctrl_cod_7,Fishing,No Warming,ctrl,cod,7,temp,4.35193554565855e-19,8.893644965070413e-17,0.00489330928179692,0.9961056668457056,Fished_NoWarming_ctrl_cod,Fished_NoWarming_ctrl
Fished_NoWarming_ctrl_cod_8,Fishing,No Warming,ctrl,cod,8,temp,1.3500136258502797e-16,1.1221114362233385e-16,1.2031012092649065,0.2318356009522653,Fished_NoWarming_ctrl_cod,Fished_NoWarming_ctrl
Fished_NoWarming_ctrl_cod_9,Fishing,No Warming,ctrl,cod,9,temp,-1.521696509306302e-16,9.701119876495613e-17,-1.5685781937332297,0.11996961018003863,Fished_NoWarming_ctrl_cod,Fished_NoWarming_ctrl
Fished_NoWarming_ctrl_flatfish_1,Fishing,No Warming,ctrl,flatfish,1,temp,-6.741888562106716e-17,1.926615596524016e-16,-0.3499342875802716,0.7271389469280372,Fished_NoWarming_ctrl_flatfish,Fished_NoWarming_ctrl
Fished_NoWarming_ctrl_flatfish_10,Fishing,No Warming,ctrl,flatfish,10,temp,-5.310996138609103e-17,2.006787067273642e-16,-0.26465170247606074,0.7918336001489927,Fished_NoWarming_ctrl_flatfish,Fished_NoWarming_ctrl
Fished_NoWarming_ctrl_flatfish_11,Fishing,No Warming,ctrl,flatfish,11,temp,1.0245899125391312e-16,1.6656454259757426e-16,0.6151308655255495,0.5398940826184149,Fished_NoWarming_ctrl_flatfish,Fished_NoWarming_ctrl
Fished_NoWarming_ctrl_flatfish_12,Fishing,No Warming,ctrl,flatfish,12,temp,1.15026060292128e-16,1.6100475629349203e-16,0.7144264737275806,0.47666180449563644,Fished_NoWarming_ctrl_flatfish,Fished_NoWarming_ctrl
Fished_NoWarming_ctrl_flatfish_13,Fishing,No Warming,ctrl,flatfish,13,temp,2.435489078779579e-16,1.5028176900664875e-16,1.620615125093336,0.10831361279693402,Fished_NoWarming_ctrl_flatfish,Fished_NoWarming_ctrl
Fished_NoWarming_ctrl_flatfish_14,Fishing,No Warming,ctrl,flatfish,14,temp,-2.2542855730381494e-16,1.373694165646282e-16,-1.6410389076505798,0.103995044646403,Fished_NoWarming_ctrl_flatfish,Fished_NoWarming_ctrl
Fished_NoWarming_ctrl_flatfish_15,Fishing,No Warming,ctrl,flatfish,15,temp,2.3666283586104973e-16,1.2715899368554293e-16,1.861156879286916,0.06571959618958613,Fished_NoWarming_ctrl_flatfish,Fished_NoWarming_ctrl
Fished_NoWarming_ctrl_flatfish_16,Fishing,No Warming,ctrl,flatfish,16,temp,5.3289158184758965e-17,1.5285535419126811e-16,0.34862474047247416,0.7281189072166658,Fished_NoWarming_ctrl_flatfish,Fished_NoWarming_ctrl
Fished_NoWarming_ctrl_flatfish_17,Fishing,No Warming,ctrl,flatfish,17,temp,-8.648676185748919e-17,1.1924280793533427e-16,-0.7252996080433732,0.4699966398145816,Fished_NoWarming_ctrl_flatfish,Fished_NoWarming_ctrl
Fished_NoWarming_ctrl_flatfish_18,Fishing,No Warming,ctrl,flatfish,18,temp,3.400702202554932e-17,1.6351502046888196e-16,0.20797491220093195,0.8356801584650615,Fished_NoWarming_ctrl_flatfish,Fished_NoWarming_ctrl
Fished_NoWarming_ctrl_flatfish_19,Fishing,No Warming,ctrl,flatfish,19,temp,7.185851190397495e-17,1.4201627249801137e-16,0.5059878747696408,0.6140014841764869,Fished_NoWarming_ctrl_flatfish,Fished_NoWarming_ctrl
Fished_NoWarming_ctrl_flatfish_2,Fishing,No Warming,ctrl,flatfish,2,temp,-1.2143777523559727e-16,1.448382309687752e-16,-0.8384372994846734,0.4038255282921568,Fished_NoWarming_ctrl_flatfish,Fished_NoWarming_ctrl
Fished_NoWarming_ctrl_flatfish_20,Fishing,No Warming,ctrl,flatfish,20,temp,-1.181444750749283e-16,1.648918583125001e-16,-0.716496716599694,0.47538872072543603,Fished_NoWarming_ctrl_flatfish,Fished_NoWarming_ctrl
Fished_NoWarming_ctrl_flatfish_21,Fishing,No Warming,ctrl,flatfish,21,temp,-7.594800915727774e-17,1.613434583423009e-16,-0.4707225811172894,0.6388849034485733,Fished_NoWarming_ctrl_flatfish,Fished_NoWarming_ctrl
Fished_NoWarming_ctrl_flatfish_22,Fishing,No Warming,ctrl,flatfish,22,temp,-1.5594088031327046e-16,1.7981544190316858e-16,-0.86722741196635,0.3879359248638279,Fished_NoWarming_ctrl_flatfish,Fished_NoWarming_ctrl
Fished_NoWarming_ctrl_flatfish_23,Fishing,No Warming,ctrl,flatfish,23,temp,-1.4526634122389504e-17,1.7835970073754369e-16,-0.08144571930946132,0.9352535986469881,Fished_NoWarming_ctrl_flatfish,Fished_NoWarming_ctrl
Fished_NoWarming_ctrl_flatfish_24,Fishing,No Warming,ctrl,flatfish,24,temp,-5.632878606597874e-17,1.3942997042583743e-16,-0.4039933874614133,0.6870978315870874,Fished_NoWarming_ctrl_flatfish,Fished_NoWarming_ctrl
Fished_NoWarming_ctrl_flatfish_25,Fishing,No Warming,ctrl,flatfish,25,temp,1.8185942427495574e-16,1.7821544999866818e-16,1.0204470166661466,0.31002902859337494,Fished_NoWarming_ctrl_flatfish,Fished_NoWarming_ctrl
Fished_NoWarming_ctrl_flatfish_26,Fishing,No Warming,ctrl,flatfish,26,temp,-2.6598661496278177e-16,1.5386933431838157e-16,-1.7286525358744365,0.08702056622313782,Fished_NoWarming_ctrl_flatfish,Fished_NoWarming_ctrl
Fished_NoWarming_ctrl_flatfish_27,Fishing,No Warming,ctrl,flatfish,27,temp,-2.5981778911061263e-16,1.556996192981993e-16,-1.6687117815811991,0.09836644022847113,Fished_NoWarming_ctrl_flatfish,Fished_NoWarming_ctrl
Fished_NoWarming_ctrl_flatfish_28,Fishing,No Warming,ctrl,flatfish,28,temp,3.6921461947988597e-17,1.4813508062840428e-16,0.2492418527155347,0.8036953487703208,Fished_NoWarming_ctrl_flatfish,Fished_NoWarming_ctrl
Fished_NoWarming_ctrl_flatfish_29,Fishing,No Warming,ctrl,flatfish,29,temp,3.689312882802752e-18,1.2438487520034276e-16,0.02966046214911976,0.9763981646390664,Fished_NoWarming_ctrl_flatfish,Fished_NoWarming_ctrl
