species,F_longterm,total_warming,scenario,seed,term,estimate,std.error,statistic,p.value
cod,0,0,Fished_Warming_full,1,temp,0.02485580929224564,1.7553075441084493e-4,141.60372850713367,3.692006714754043e-115
cod,0,0,Fished_Warming_full,2,temp,0.024854244661279994,1.946751755534098e-4,127.670333881174,8.957568736202646e-111
cod,0,0,Fished_Warming_full,3,temp,0.024677504722222094,2.818891179734472e-4,87.54330390485883,7.40897466720963e-95
cod,0,0,Fished_Warming_full,4,temp,0.024992120215608912,5.98923807478018e-5,417.28379976823993,4.583040526985779e-161
cod,0,0,Fished_Warming_full,5,temp,0.024792670127323294,2.2366092099167413e-4,110.84936079757183,8.396238644108983e-105
cod,0,0,Fished_Warming_noRL,1,temp,0.024855809292244277,1.755307544108246e-4,141.6037285071423,3.6920067147320053e-115
cod,0,0,Fished_Warming_noRL,2,temp,0.02485424466127881,1.9467517555346491e-4,127.67033388113178,8.95756873649111e-111
cod,0,0,Fished_Warming_noRL,3,temp,0.024677504722223367,2.8188911797340726e-4,87.54330390487576,7.408974667070846e-95
cod,0,0,Fished_Warming_noRL,4,temp,0.024992120215609346,5.989238074781259e-5,417.28379976817195,4.5830405270589844e-161
cod,0,0,Fished_Warming_noRL,5,temp,0.024792670127324678,2.2366092099165925e-4,110.8493607975854,8.396238644008986e-105
cod,0,0.0952380952380952,Fished_Warming_full,1,temp,0.024820581272278694,1.7416118500637997e-4,142.51499994886606,1.9749297361136437e-115
cod,0,0.0952380952380952,Fished_Warming_full,2,temp,0.02481930499509781,1.9596251082667446e-4,126.65333226440472,1.9523185247569742e-110
cod,0,0.0952380952380952,Fished_Warming_full,3,temp,0.024632199165426395,2.7462622923551727e-4,89.69354177856776,7.073185693852351e-96
cod,0,0.0952380952380952,Fished_Warming_full,4,temp,0.02500479637127301,6.113501509190477e-5,409.0094086618462,3.259083759752301e-160
cod,0,0.0952380952380952,Fished_Warming_full,5,temp,0.024750781373133534,2.2170924126475102e-4,111.6362188239945,4.220635487603963e-105
cod,0,0.0952380952380952,Fished_Warming_noRL,1,temp,0.024820581272275568,1.7416118500635593e-4,142.5149999488678,1.9749297361112854e-115
cod,0,0.0952380952380952,Fished_Warming_noRL,2,temp,0.02481930499509722,1.959625108266743e-4,126.65333226440183,1.9523185247614137e-110
cod,0,0.0952380952380952,Fished_Warming_noRL,3,temp,0.024632199165427034,2.746262292355305e-4,89.69354177856576,7.07318569386763e-96
cod,0,0.0952380952380952,Fished_Warming_noRL,4,temp,0.025004796371270923,6.113501509188812e-5,409.0094086619234,3.259083759692092e-160
cod,0,0.0952380952380952,Fished_Warming_noRL,5,temp,0.02475078137313713,2.2170924126480124e-4,111.63621882398542,4.220635487637435e-105
cod,0,0.19047619047619,Fished_Warming_full,1,temp,0.024792431976894402,1.702317282254418e-4,145.63931316059492,2.3816479937529555e-116
cod,0,0.19047619047619,Fished_Warming_full,2,temp,0.024787280381708167,1.9538017041049384e-4,126.86691965530626,1.656788787111846e-110
cod,0,0.19047619047619,Fished_Warming_full,3,temp,0.024603200402806155,2.638030410101631e-4,93.26352080171172,1.6125048625439852e-97
cod,0,0.19047619047619,Fished_Warming_full,4,temp,0.025017994772840505,6.144024495135912e-5,407.19230192924357,5.040709376395345e-160
cod,0,0.19047619047619,Fished_Warming_full,5,temp,0.024717664879127587,2.16840854102973e-4,113.98988895049135,5.547508809714058e-106
cod,0,0.19047619047619,Fished_Warming_noRL,1,temp,0.024792431976896047,1.702317282254901e-4,145.63931316056326,2.3816479938035906e-116
cod,0,0.19047619047619,Fished_Warming_noRL,2,temp,0.024787280381707716,1.9538017041048603e-4,126.86691965530902,1.6567887871083143e-110
cod,0,0.19047619047619,Fished_Warming_noRL,3,temp,0.024603200402806183,2.6380304101013795e-4,93.26352080172072,1.6125048625289513e-97
cod,0,0.19047619047619,Fished_Warming_noRL,4,temp,0.0250179947728408,6.144024495136046e-5,407.1923019292395,5.040709376400216e-160
cod,0,0.19047619047619,Fished_Warming_noRL,5,temp,0.02471766487913195,2.1684085410302305e-4,113.98988895048515,5.547508809743543e-106
